Job Title,Company Name,Location,Job Description,Salary Estimate,Job Type,Experience Level
Spectroscopy Data Scientist Intern,Not Specified,"California, United States","About General Description: Perform cutting edge research and development focused on automatic data processing for failure analysis of next generation quantum electronic semiconductor devices. This role will work closely with technical staff to develop Python script for automatic curve fitting of energy dispersive spectroscopy and electron energy loss spectroscopy transmission electron microscopy data. While prior knowledge and/or experience of electron microscopy and Python is encouraged, we're ",Not Provided,Unknown,Unknown
Data Scientist,Not Specified,"McLean, VA","Capital One has partnered with iHire to reach top talent for their opening below. Check it out and apply via iHireTechnology today! West Creek 4 (12074), United States of America, Richmond, VirginiaSenior Associate, Data Scientist - Enterprise Tech Analytics Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fas",4 ,Unknown,Senior
Data Scientist,Not Specified,United States,"Avetta Avetta is a leading software company revolutionizing supply chain risk management. Our AI-powered Connect SaaS platform seamlessly links businesses with a network of pre-vetted suppliers and contractors, streamlining operations and reducing risk. With advanced analytics and predictive insights, we empower organizations to enhance efficiency, maintain compliance, and uphold the highest standards of safety and sustainability. Summary We are seeking an experienced Data Scientist to join our ",Not Provided,Contract,Lead
Data Scientist,Not Specified,"Reston, VA",Please review the job details below. Maxar is looking to add a Data Scientist to our team to support a customer who has a fast-paced and exciting mission within the Intelligence Community. This position will support specialized communications programs and their associated infrastructure. Life with Us Project The Data Scientist will work independently and as part of a cross-functional team comprised of technical experts supporting an established and growing Intelligence Community (IC) mission. Yo,Not Provided,Unknown,Unknown
Data Scientist,Not Specified,"San Jose, CA","The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy. We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, wheth",25 ,Unknown,Unknown
Product Data Scientist,Not Specified,"San Jose, CA","The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy. We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, wheth",25 ,Unknown,Unknown
Data Scientist (AI & ML Specialist) - to 240k + bonus + equity,Not Specified,"New York, NY","Salary is 180k to 240k + bonus + equityHybrid position Seeking an experienced and highly skilled Data Scientist with expertise in Artificial Intelligence (AI), Machine Learning (ML), and Python programming to join our team. The ideal candidate will have a strong background in data analysis, algorithm development, and statistical modeling, with a focus on implementing AI/ML solutions to solve complex business problems. You will work closely with cross-functional teams to design, build, and deploy",180,Hybrid,Unknown
Junior Data Scientist entry level /AI/software programmer(Remote),Not Specified,"Peoria, CO","Are you passionate about coding or technology and ready to make your mark in tech? For more than 14 years, SynergisticIT has been helping aspiring developers like you excel in the tech industry. We focus on equipping you with the skills and experience needed to not only secure a job but to thrive in your career! Why Partner with SynergisticIT? Customized inputs to achieve the desired output :designed with industry needs in mind, ensuring you're equipped with the most sought-after skills. Exclusi",14 ,Unknown,Unknown
Internal Audit Data Scientist Intern - REMOTE,Not Specified,"California, United States",About Job Seekers can review the Job Applicant Privacy Policy by clicking here (http://ryder.com/job-applicant-privacy-policy) . Job Description : Summary The Ryder Audit Services (RAS) department is a high-performing team that provides internal audit services and support to business leaders across the organization. RAS consists of both audit and advisory activities aimed at adding value and driving continuous improvement in Ryder's business processes while also providing assurance that the Comp,Not Provided,Intern,Lead
Data Scientist - Analytics,Not Specified,"San Francisco, CA","About Us Twitch is the world’s biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It is where thousands of communities come together for whatever, every day. We’re about community, inside and out. You’ll find coworkers who are eager to team up, collaborate, and smash (or elegantly solve) problems together. We’re on a quest to empower live communities, so if this sounds good to you, see what we’re up to on LinkedIn and X, ",Not Provided,Unknown,Unknown
Associate Data Scientist,Not Specified,"North Palm Beach, FL","NextEra Energy is the world's largest producer of wind and solar energy. With operations in nearly all 50 states and four provinces in Canada, our nearly 15,000 employees are committed to finding innovative, industry-leading solutions to provide safe, reliable and affordable clean energy to millions of customers throughout North America. We are leading the decarbonization of the U.S. economy with our goal to reach Real Zero carbon emissions from our operations by 2045 while improving customer af",50 ,Unknown,Lead
Data Scientist,Not Specified,"Lone Tree, CO","Your opportunity At Schwab, you’re empowered to make an impact on your career. Here, innovative thought meets creative problem solving, helping us “challenge the status quo” and transform the finance industry together. The Schwab Asset Management, Sales Analytics team partners with the Sales team to provide close alignment and support to Sales. We are salespeople using data, analytic tools and techniques to drive enhanced sales outcomes. One’s contribution can be seen daily in the effectiveness ",Not Provided,Unknown,Unknown
V.I.E Data Scientist - New-York H/F,Not Specified,"New York, NY","Concrètement votre quotidien ? Vous êtes passionné(e) pour développer des solutions innovantes en machine Learning pour améliorer l'efficacité et la productivité de notre équipe de marché : rejoignez notre équipe de Data Scientist au sein du Data and AI Lab de Global Market. Vous aurez l'occasion de travailler sur des projets variés, allant de l'automatisation de tâches répétitives pour les vendeurs et les traders via des techniques de Natural Language Processing (NLP), à l'amélioration de la pr",Not Provided,Unknown,Unknown
2025 Graduate - Software Engineering; Machine Learning; Data Scientist - Tactical Intelligence Systems,Not Specified,"Laurel, MD","Description Are you searching for a place to build upon the foundation of your academic work? Are you searching for engaging work with an employer that prioritizes impact, innovation, and personal development? Are you looking for meaningful work in a driven intellectual environment? If so, we're looking for someone like you to join our team at APL! We are seeking recent college graduates to help us tackle the complex research, engineering, and analytical problems that present critical challenges",Not Provided,Unknown,Unknown
Data Scientist,Not Specified,"Dallas, TX","As a Data Scientist, you will be responsible for interpreting complex data and turning it into valuable insights for the organization. You will utilize various statistical and machine learning techniques to develop models, algorithms, and predictive analytics that support data-driven decision making. Your role will involve collecting, analyzing, and interpreting large datasets to identify trends, patterns, and correlations that will drive business strategy and performance. Collaborating with cro",Not Provided,Unknown,Unknown
Arity - Data Scientist - Arity,Not Specified,United States,"At Allstate, great things happen when our people work together to protect families and their belongings from life’s uncertainties. And for more than 90 years our innovative drive has kept us a step ahead of our customers’ evolving needs. From advocating for seat belts, air bags and graduated driving laws, to being an industry leader in pricing sophistication, telematics, and, more recently, device and identity protection. Job Description Founded by The Allstate Corporation in 2016, Arity is a da",90 ,Unknown,Lead
Data Scientist - 704148,Not Specified,"New York, NY","*Only permanent employees in the civil service title, comparable title (under 6.1.9), eligible for the 55a program, and those that are reachable in the civil service list are eligible to apply. * **This position may be eligible for remote work for up to 2 days per week, pursuant to the Remote Work Pilot Program. ** The NYC Department of Consumer and Worker Protection (DCWP) protects and enhances the daily economic lives of New Yorkers to create thriving communities. DCWP licenses more than 45,00",6,Remote,Unknown
Data Scientist Intern,Not Specified,"Quincy, MA","Position Summary The Data Scientist Intern will work with Granite’s Data Scientists to analyze and interpret complex data to help the company make data-driven decisions. This role involves close collaboration with various business units to understand their needs and the application of statistical analysis, machine learning, and data modeling techniques to extract meaningful insights from large datasets. Responsibilities Build data models to address analytical and machine learning needs defined b",Not Provided,Intern,Unknown
Junior Data Scientist,Not Specified,"Charlotte, NC","Location – Charlotte (ONSITE) Looking for Junior Data Scientist who can perform following job duties and possess the skills – Data cleansing, analyzing large datasets using Python, RAbility to extract data insights by performing data analysisData visualizationGathering and cleaning data and conducting exploratory data analysis.Proficiency in Python, R, or SAS for data analysis and model development.Experience with SQL for database queryingGathering data from primary and secondary sources and int",Not Provided,Unknown,Junior
